"design","N","M","per1","per2","per3","file"
"irregular",100,10,0.72,0.77,0,"result_parameter_set1_irregular_1_N_100_M_10.rds"
"irregular",100,20,0.99,1,1,"result_parameter_set1_irregular_1_N_100_M_20.rds"
"irregular",50,10,0.78,0.92,0,"result_parameter_set1_irregular_1_N_50_M_10.rds"
"irregular",50,20,0.26,0.92,1,"result_parameter_set1_irregular_1_N_50_M_20.rds"
"irregular",100,10,0.31,0.28,0.66,"result_parameter_set1_irregular_10_N_100_M_10.rds"
"irregular",100,20,0.89,1,1,"result_parameter_set1_irregular_10_N_100_M_20.rds"
"irregular",50,10,0.86,1,1,"result_parameter_set1_irregular_10_N_50_M_10.rds"
"irregular",50,20,0.69,1,0.07,"result_parameter_set1_irregular_10_N_50_M_20.rds"
"irregular",100,10,0.78,0.88,0,"result_parameter_set1_irregular_100_N_100_M_10.rds"
"irregular",100,20,0.36,0.58,1,"result_parameter_set1_irregular_100_N_100_M_20.rds"
"irregular",50,10,0.87,0.92,0,"result_parameter_set1_irregular_100_N_50_M_10.rds"
"irregular",50,20,0.65,0.84,0,"result_parameter_set1_irregular_100_N_50_M_20.rds"
"irregular",100,10,0.95,1,1,"result_parameter_set1_irregular_11_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_11_N_100_M_20.rds"
"irregular",50,10,0.75,0.84,0,"result_parameter_set1_irregular_11_N_50_M_10.rds"
"irregular",50,20,0.84,0.98,0,"result_parameter_set1_irregular_11_N_50_M_20.rds"
"irregular",100,10,0.86,1,1,"result_parameter_set1_irregular_12_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_12_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_12_N_50_M_10.rds"
"irregular",50,20,0.97,0.99,1,"result_parameter_set1_irregular_12_N_50_M_20.rds"
"irregular",100,10,0.95,1,1,"result_parameter_set1_irregular_13_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_13_N_100_M_20.rds"
"irregular",50,10,0.48,0.97,0,"result_parameter_set1_irregular_13_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_13_N_50_M_20.rds"
"irregular",100,10,0.76,0.85,0,"result_parameter_set1_irregular_14_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_14_N_100_M_20.rds"
"irregular",50,10,0.57,0.88,1,"result_parameter_set1_irregular_14_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_14_N_50_M_20.rds"
"irregular",100,10,1,1,1,"result_parameter_set1_irregular_15_N_100_M_10.rds"
"irregular",100,20,0.75,0.86,0,"result_parameter_set1_irregular_15_N_100_M_20.rds"
"irregular",50,10,0.97,1,1,"result_parameter_set1_irregular_15_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_15_N_50_M_20.rds"
"irregular",100,10,0.94,0.99,1,"result_parameter_set1_irregular_16_N_100_M_10.rds"
"irregular",100,20,0.73,0.88,1,"result_parameter_set1_irregular_16_N_100_M_20.rds"
"irregular",50,10,0.98,1,1,"result_parameter_set1_irregular_16_N_50_M_10.rds"
"irregular",50,20,0.53,0.99,1,"result_parameter_set1_irregular_16_N_50_M_20.rds"
"irregular",100,10,0.93,0.99,0.18,"result_parameter_set1_irregular_17_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_17_N_100_M_20.rds"
"irregular",50,10,0.96,1,1,"result_parameter_set1_irregular_17_N_50_M_10.rds"
"irregular",50,20,0.8,0.97,0,"result_parameter_set1_irregular_17_N_50_M_20.rds"
"irregular",100,10,0.76,0.99,0,"result_parameter_set1_irregular_18_N_100_M_10.rds"
"irregular",100,20,0.72,1,1,"result_parameter_set1_irregular_18_N_100_M_20.rds"
"irregular",50,10,0.49,0.48,0,"result_parameter_set1_irregular_18_N_50_M_10.rds"
"irregular",50,20,0.86,0.8,1,"result_parameter_set1_irregular_18_N_50_M_20.rds"
"irregular",100,10,1,0.9,1,"result_parameter_set1_irregular_19_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_19_N_100_M_20.rds"
"irregular",50,10,0.86,0.88,0,"result_parameter_set1_irregular_19_N_50_M_10.rds"
"irregular",50,20,0.91,0.85,0.49,"result_parameter_set1_irregular_19_N_50_M_20.rds"
"irregular",100,10,0.92,1,1,"result_parameter_set1_irregular_2_N_100_M_10.rds"
"irregular",100,20,0.85,1,1,"result_parameter_set1_irregular_2_N_100_M_20.rds"
"irregular",50,10,0.71,1,1,"result_parameter_set1_irregular_2_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_2_N_50_M_20.rds"
"irregular",100,10,0.59,0.95,0.33,"result_parameter_set1_irregular_20_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_20_N_100_M_20.rds"
"irregular",50,10,0.98,1,1,"result_parameter_set1_irregular_20_N_50_M_10.rds"
"irregular",50,20,0.98,1,1,"result_parameter_set1_irregular_20_N_50_M_20.rds"
"irregular",100,10,0.88,1,1,"result_parameter_set1_irregular_21_N_100_M_10.rds"
"irregular",100,20,0.99,1,1,"result_parameter_set1_irregular_21_N_100_M_20.rds"
"irregular",50,10,0.93,0.98,1,"result_parameter_set1_irregular_21_N_50_M_10.rds"
"irregular",50,20,0.94,1,0.21,"result_parameter_set1_irregular_21_N_50_M_20.rds"
"irregular",100,10,0.37,0.28,0.7,"result_parameter_set1_irregular_22_N_100_M_10.rds"
"irregular",100,20,1,1,0,"result_parameter_set1_irregular_22_N_100_M_20.rds"
"irregular",50,10,0.51,0.56,0,"result_parameter_set1_irregular_22_N_50_M_10.rds"
"irregular",50,20,0.85,1,1,"result_parameter_set1_irregular_22_N_50_M_20.rds"
"irregular",100,10,0.95,0.92,1,"result_parameter_set1_irregular_23_N_100_M_10.rds"
"irregular",100,20,0.74,0.84,0.59,"result_parameter_set1_irregular_23_N_100_M_20.rds"
"irregular",50,10,0.79,0.27,0,"result_parameter_set1_irregular_23_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_23_N_50_M_20.rds"
"irregular",100,10,0.79,0.87,0.13,"result_parameter_set1_irregular_24_N_100_M_10.rds"
"irregular",100,20,1,0.99,1,"result_parameter_set1_irregular_24_N_100_M_20.rds"
"irregular",50,10,0.3,0.27,1,"result_parameter_set1_irregular_24_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_24_N_50_M_20.rds"
"irregular",100,10,0.85,1,1,"result_parameter_set1_irregular_25_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_25_N_100_M_20.rds"
"irregular",50,10,0.89,0.99,0.18,"result_parameter_set1_irregular_25_N_50_M_10.rds"
"irregular",50,20,0.73,0.99,0,"result_parameter_set1_irregular_25_N_50_M_20.rds"
"irregular",100,10,0.86,1,1,"result_parameter_set1_irregular_26_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_26_N_100_M_20.rds"
"irregular",50,10,0.96,1,1,"result_parameter_set1_irregular_26_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_26_N_50_M_20.rds"
"irregular",100,10,0.6,0.81,0,"result_parameter_set1_irregular_27_N_100_M_10.rds"
"irregular",100,20,0.75,0.86,1,"result_parameter_set1_irregular_27_N_100_M_20.rds"
"irregular",50,10,0.56,0.56,0,"result_parameter_set1_irregular_27_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_27_N_50_M_20.rds"
"irregular",100,10,0.85,1,1,"result_parameter_set1_irregular_28_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_28_N_100_M_20.rds"
"irregular",50,10,0.71,0.84,1,"result_parameter_set1_irregular_28_N_50_M_10.rds"
"irregular",50,20,0.84,1,1,"result_parameter_set1_irregular_28_N_50_M_20.rds"
"irregular",100,10,0.64,0.44,0,"result_parameter_set1_irregular_29_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_29_N_100_M_20.rds"
"irregular",50,10,0.94,0.99,1,"result_parameter_set1_irregular_29_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_29_N_50_M_20.rds"
"irregular",100,10,0.72,0.8,1,"result_parameter_set1_irregular_3_N_100_M_10.rds"
"irregular",100,20,0.9,0.99,0,"result_parameter_set1_irregular_3_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_3_N_50_M_10.rds"
"irregular",50,20,0.76,1,1,"result_parameter_set1_irregular_3_N_50_M_20.rds"
"irregular",100,10,0.98,1,1,"result_parameter_set1_irregular_30_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_30_N_100_M_20.rds"
"irregular",50,10,0.94,1,1,"result_parameter_set1_irregular_30_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_30_N_50_M_20.rds"
"irregular",100,10,0.93,1,1,"result_parameter_set1_irregular_31_N_100_M_10.rds"
"irregular",100,20,0.97,1,1,"result_parameter_set1_irregular_31_N_100_M_20.rds"
"irregular",50,10,0.81,1,1,"result_parameter_set1_irregular_31_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_31_N_50_M_20.rds"
"irregular",100,10,0.96,1,1,"result_parameter_set1_irregular_32_N_100_M_10.rds"
"irregular",100,20,0.85,1,1,"result_parameter_set1_irregular_32_N_100_M_20.rds"
"irregular",50,10,0.44,0.48,0,"result_parameter_set1_irregular_32_N_50_M_10.rds"
"irregular",50,20,0.62,0.78,1,"result_parameter_set1_irregular_32_N_50_M_20.rds"
"irregular",100,10,0.97,1,0.16,"result_parameter_set1_irregular_33_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_33_N_100_M_20.rds"
"irregular",50,10,0.98,0.97,1,"result_parameter_set1_irregular_33_N_50_M_10.rds"
"irregular",50,20,0.96,1,0.22,"result_parameter_set1_irregular_33_N_50_M_20.rds"
"irregular",100,10,0.89,0.95,0.3,"result_parameter_set1_irregular_34_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_34_N_100_M_20.rds"
"irregular",50,10,0.58,0.63,1,"result_parameter_set1_irregular_34_N_50_M_10.rds"
"irregular",50,20,0.74,1,1,"result_parameter_set1_irregular_34_N_50_M_20.rds"
"irregular",100,10,0.94,1,1,"result_parameter_set1_irregular_35_N_100_M_10.rds"
"irregular",100,20,0.94,1,1,"result_parameter_set1_irregular_35_N_100_M_20.rds"
"irregular",50,10,0.63,0.9,0,"result_parameter_set1_irregular_35_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_35_N_50_M_20.rds"
"irregular",100,10,0.9,0.89,1,"result_parameter_set1_irregular_36_N_100_M_10.rds"
"irregular",100,20,0.93,0.98,1,"result_parameter_set1_irregular_36_N_100_M_20.rds"
"irregular",50,10,0.1,0.54,0,"result_parameter_set1_irregular_36_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_36_N_50_M_20.rds"
"irregular",100,10,0.98,1,1,"result_parameter_set1_irregular_37_N_100_M_10.rds"
"irregular",100,20,0.79,1,1,"result_parameter_set1_irregular_37_N_100_M_20.rds"
"irregular",50,10,0.27,0.47,1,"result_parameter_set1_irregular_37_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_37_N_50_M_20.rds"
"irregular",100,10,0.91,1,0.09,"result_parameter_set1_irregular_38_N_100_M_10.rds"
"irregular",100,20,0.78,1,1,"result_parameter_set1_irregular_38_N_100_M_20.rds"
"irregular",50,10,1,1,0.68,"result_parameter_set1_irregular_38_N_50_M_10.rds"
"irregular",50,20,0.99,1,1,"result_parameter_set1_irregular_38_N_50_M_20.rds"
"irregular",100,10,1,1,1,"result_parameter_set1_irregular_39_N_100_M_10.rds"
"irregular",100,20,0.62,0.61,1,"result_parameter_set1_irregular_39_N_100_M_20.rds"
"irregular",50,10,0.75,0.79,1,"result_parameter_set1_irregular_39_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_39_N_50_M_20.rds"
"irregular",100,10,0.94,1,1,"result_parameter_set1_irregular_4_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_4_N_100_M_20.rds"
"irregular",50,10,0.89,0.6,0,"result_parameter_set1_irregular_4_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_4_N_50_M_20.rds"
"irregular",100,10,0.86,1,0.57,"result_parameter_set1_irregular_40_N_100_M_10.rds"
"irregular",100,20,0.86,1,1,"result_parameter_set1_irregular_40_N_100_M_20.rds"
"irregular",50,10,0.88,1,0.05,"result_parameter_set1_irregular_40_N_50_M_10.rds"
"irregular",50,20,0.81,0.94,1,"result_parameter_set1_irregular_40_N_50_M_20.rds"
"irregular",100,10,0.98,1,0.72,"result_parameter_set1_irregular_41_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_41_N_100_M_20.rds"
"irregular",50,10,1,0.99,1,"result_parameter_set1_irregular_41_N_50_M_10.rds"
"irregular",50,20,0.95,1,1,"result_parameter_set1_irregular_41_N_50_M_20.rds"
"irregular",100,10,1,1,1,"result_parameter_set1_irregular_42_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_42_N_100_M_20.rds"
"irregular",50,10,0.84,0.93,0,"result_parameter_set1_irregular_42_N_50_M_10.rds"
"irregular",50,20,1,1,0.23,"result_parameter_set1_irregular_42_N_50_M_20.rds"
"irregular",100,10,0.75,0.92,0,"result_parameter_set1_irregular_43_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_43_N_100_M_20.rds"
"irregular",50,10,0.73,0.99,1,"result_parameter_set1_irregular_43_N_50_M_10.rds"
"irregular",50,20,0.84,0.96,1,"result_parameter_set1_irregular_43_N_50_M_20.rds"
"irregular",100,10,0.96,0.93,0,"result_parameter_set1_irregular_44_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_44_N_100_M_20.rds"
"irregular",50,10,0.81,0.5,0,"result_parameter_set1_irregular_44_N_50_M_10.rds"
"irregular",50,20,0.95,1,1,"result_parameter_set1_irregular_44_N_50_M_20.rds"
"irregular",100,10,0.86,0.98,0,"result_parameter_set1_irregular_45_N_100_M_10.rds"
"irregular",100,20,0.97,0.99,1,"result_parameter_set1_irregular_45_N_100_M_20.rds"
"irregular",50,10,0.95,1,1,"result_parameter_set1_irregular_45_N_50_M_10.rds"
"irregular",50,20,0.97,0.99,1,"result_parameter_set1_irregular_45_N_50_M_20.rds"
"irregular",100,10,0.89,0.95,1,"result_parameter_set1_irregular_46_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_46_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_46_N_50_M_10.rds"
"irregular",50,20,0.65,0.53,1,"result_parameter_set1_irregular_46_N_50_M_20.rds"
"irregular",100,10,0.86,1,0,"result_parameter_set1_irregular_47_N_100_M_10.rds"
"irregular",100,20,0.93,1,1,"result_parameter_set1_irregular_47_N_100_M_20.rds"
"irregular",50,10,0.53,0.65,0.51,"result_parameter_set1_irregular_47_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_47_N_50_M_20.rds"
"irregular",100,10,0.76,1,0,"result_parameter_set1_irregular_48_N_100_M_10.rds"
"irregular",100,20,0.88,0.84,1,"result_parameter_set1_irregular_48_N_100_M_20.rds"
"irregular",50,10,0.31,0.35,0,"result_parameter_set1_irregular_48_N_50_M_10.rds"
"irregular",50,20,0.88,1,1,"result_parameter_set1_irregular_48_N_50_M_20.rds"
"irregular",100,10,0.75,0.85,1,"result_parameter_set1_irregular_49_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_49_N_100_M_20.rds"
"irregular",50,10,0.89,1,1,"result_parameter_set1_irregular_49_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_49_N_50_M_20.rds"
"irregular",100,10,0,0,0,"result_parameter_set1_irregular_5_N_100_M_10.rds"
"irregular",100,20,0.73,1,1,"result_parameter_set1_irregular_5_N_100_M_20.rds"
"irregular",50,10,0.55,0.99,1,"result_parameter_set1_irregular_5_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_5_N_50_M_20.rds"
"irregular",100,10,0.92,0.98,1,"result_parameter_set1_irregular_50_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_50_N_100_M_20.rds"
"irregular",50,10,0.96,1,1,"result_parameter_set1_irregular_50_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_50_N_50_M_20.rds"
"irregular",100,10,0.93,1,1,"result_parameter_set1_irregular_51_N_100_M_10.rds"
"irregular",100,20,0.9,0.99,1,"result_parameter_set1_irregular_51_N_100_M_20.rds"
"irregular",50,10,0.94,0.97,0,"result_parameter_set1_irregular_51_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_51_N_50_M_20.rds"
"irregular",100,10,0.88,1,1,"result_parameter_set1_irregular_52_N_100_M_10.rds"
"irregular",100,20,1,1,0.34,"result_parameter_set1_irregular_52_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_52_N_50_M_10.rds"
"irregular",50,20,0.5,0.68,1,"result_parameter_set1_irregular_52_N_50_M_20.rds"
"irregular",100,10,0.93,0.76,1,"result_parameter_set1_irregular_53_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_53_N_100_M_20.rds"
"irregular",50,10,0.74,0.98,1,"result_parameter_set1_irregular_53_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_53_N_50_M_20.rds"
"irregular",100,10,0.94,1,1,"result_parameter_set1_irregular_54_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_54_N_100_M_20.rds"
"irregular",50,10,0.98,1,1,"result_parameter_set1_irregular_54_N_50_M_10.rds"
"irregular",50,20,1,1,0,"result_parameter_set1_irregular_54_N_50_M_20.rds"
"irregular",100,10,0.87,1,0,"result_parameter_set1_irregular_55_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_55_N_100_M_20.rds"
"irregular",50,10,0.76,1,1,"result_parameter_set1_irregular_55_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_55_N_50_M_20.rds"
"irregular",100,10,0.4,0.99,0.46,"result_parameter_set1_irregular_56_N_100_M_10.rds"
"irregular",100,20,0.53,0.88,1,"result_parameter_set1_irregular_56_N_100_M_20.rds"
"irregular",50,10,0.72,1,0.05,"result_parameter_set1_irregular_56_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_56_N_50_M_20.rds"
"irregular",100,10,1,1,1,"result_parameter_set1_irregular_57_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_57_N_100_M_20.rds"
"irregular",50,10,0.98,1,0.05,"result_parameter_set1_irregular_57_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_57_N_50_M_20.rds"
"irregular",100,10,0.75,1,1,"result_parameter_set1_irregular_58_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_58_N_100_M_20.rds"
"irregular",50,10,0.87,0.98,1,"result_parameter_set1_irregular_58_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_58_N_50_M_20.rds"
"irregular",100,10,0.64,0.68,0,"result_parameter_set1_irregular_59_N_100_M_10.rds"
"irregular",100,20,0.63,1,1,"result_parameter_set1_irregular_59_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_59_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_59_N_50_M_20.rds"
"irregular",100,10,1,1,1,"result_parameter_set1_irregular_6_N_100_M_10.rds"
"irregular",100,20,1,1,0.03,"result_parameter_set1_irregular_6_N_100_M_20.rds"
"irregular",50,10,0.99,0.99,1,"result_parameter_set1_irregular_6_N_50_M_10.rds"
"irregular",50,20,0.9,0.84,1,"result_parameter_set1_irregular_6_N_50_M_20.rds"
"irregular",100,10,0.99,1,0,"result_parameter_set1_irregular_60_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_60_N_100_M_20.rds"
"irregular",50,10,1,0.98,0,"result_parameter_set1_irregular_60_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_60_N_50_M_20.rds"
"irregular",100,10,0.88,0.93,0,"result_parameter_set1_irregular_61_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_61_N_100_M_20.rds"
"irregular",50,10,0.91,0.99,1,"result_parameter_set1_irregular_61_N_50_M_10.rds"
"irregular",50,20,0.61,0.74,0,"result_parameter_set1_irregular_61_N_50_M_20.rds"
"irregular",100,10,0.9,1,0,"result_parameter_set1_irregular_62_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_62_N_100_M_20.rds"
"irregular",50,10,0.65,0.41,1,"result_parameter_set1_irregular_62_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_62_N_50_M_20.rds"
"irregular",100,10,0.96,1,1,"result_parameter_set1_irregular_63_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_63_N_100_M_20.rds"
"irregular",50,10,0.74,0.83,1,"result_parameter_set1_irregular_63_N_50_M_10.rds"
"irregular",50,20,0.94,1,1,"result_parameter_set1_irregular_63_N_50_M_20.rds"
"irregular",100,10,0.83,1,1,"result_parameter_set1_irregular_64_N_100_M_10.rds"
"irregular",100,20,0.86,1,1,"result_parameter_set1_irregular_64_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_64_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_64_N_50_M_20.rds"
"irregular",100,10,0.89,1,1,"result_parameter_set1_irregular_65_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_65_N_100_M_20.rds"
"irregular",50,10,0.83,0.99,1,"result_parameter_set1_irregular_65_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_65_N_50_M_20.rds"
"irregular",100,10,0.96,0.99,1,"result_parameter_set1_irregular_66_N_100_M_10.rds"
"irregular",100,20,0.47,0.51,1,"result_parameter_set1_irregular_66_N_100_M_20.rds"
"irregular",50,10,0.68,0.93,1,"result_parameter_set1_irregular_66_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_66_N_50_M_20.rds"
"irregular",100,10,0.97,1,0,"result_parameter_set1_irregular_67_N_100_M_10.rds"
"irregular",100,20,0.99,1,1,"result_parameter_set1_irregular_67_N_100_M_20.rds"
"irregular",50,10,1,0.99,1,"result_parameter_set1_irregular_67_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_67_N_50_M_20.rds"
"irregular",100,10,0.19,0.18,0,"result_parameter_set1_irregular_68_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_68_N_100_M_20.rds"
"irregular",50,10,0.93,0.99,1,"result_parameter_set1_irregular_68_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_68_N_50_M_20.rds"
"irregular",100,10,0.78,0.91,0,"result_parameter_set1_irregular_69_N_100_M_10.rds"
"irregular",100,20,0.96,1,1,"result_parameter_set1_irregular_69_N_100_M_20.rds"
"irregular",50,10,1,1,1,"result_parameter_set1_irregular_69_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_69_N_50_M_20.rds"
"irregular",100,10,0.84,0.92,1,"result_parameter_set1_irregular_7_N_100_M_10.rds"
"irregular",100,20,0.81,0.98,0,"result_parameter_set1_irregular_7_N_100_M_20.rds"
"irregular",50,10,0.48,0.81,1,"result_parameter_set1_irregular_7_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_7_N_50_M_20.rds"
"irregular",100,10,0.98,0.99,0.49,"result_parameter_set1_irregular_70_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_70_N_100_M_20.rds"
"irregular",50,10,0.45,0.99,1,"result_parameter_set1_irregular_70_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_70_N_50_M_20.rds"
"irregular",100,10,0.98,0.94,1,"result_parameter_set1_irregular_71_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_71_N_100_M_20.rds"
"irregular",50,10,0.81,0.88,1,"result_parameter_set1_irregular_71_N_50_M_10.rds"
"irregular",50,20,0.95,1,1,"result_parameter_set1_irregular_71_N_50_M_20.rds"
"irregular",100,10,0.98,1,1,"result_parameter_set1_irregular_72_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_72_N_100_M_20.rds"
"irregular",50,10,0.85,0.92,1,"result_parameter_set1_irregular_72_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_72_N_50_M_20.rds"
"irregular",100,10,0.9,0.98,1,"result_parameter_set1_irregular_73_N_100_M_10.rds"
"irregular",100,20,0.85,1,1,"result_parameter_set1_irregular_73_N_100_M_20.rds"
"irregular",50,10,0.82,0.92,1,"result_parameter_set1_irregular_73_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_73_N_50_M_20.rds"
"irregular",100,10,0.8,0.98,0,"result_parameter_set1_irregular_74_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_74_N_100_M_20.rds"
"irregular",50,10,0.49,0.93,1,"result_parameter_set1_irregular_74_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_74_N_50_M_20.rds"
"irregular",100,10,0.85,0.97,0,"result_parameter_set1_irregular_75_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_75_N_100_M_20.rds"
"irregular",50,10,0.48,0.29,1,"result_parameter_set1_irregular_75_N_50_M_10.rds"
"irregular",50,20,0.77,0.98,1,"result_parameter_set1_irregular_75_N_50_M_20.rds"
"irregular",100,10,0.87,0.82,1,"result_parameter_set1_irregular_76_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_76_N_100_M_20.rds"
"irregular",50,10,0.73,0.94,1,"result_parameter_set1_irregular_76_N_50_M_10.rds"
"irregular",50,20,1,1,1,"result_parameter_set1_irregular_76_N_50_M_20.rds"
"irregular",100,10,0.61,0.58,1,"result_parameter_set1_irregular_77_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_77_N_100_M_20.rds"
"irregular",50,10,0.92,1,1,"result_parameter_set1_irregular_77_N_50_M_10.rds"
"irregular",50,20,0.87,1,1,"result_parameter_set1_irregular_77_N_50_M_20.rds"
"irregular",100,10,0.92,1,1,"result_parameter_set1_irregular_78_N_100_M_10.rds"
"irregular",100,20,1,1,1,"result_parameter_set1_irregular_78_N_100_M_20.rds"
"irregular",50,10,0.96,1,1,"result_parameter_set1_irregular_78_N_50_M_10.rds"
"irregular",50,20,0.8,0.99,1,"result_parameter_set1_irregular_78_N_50_M_20.rds"
